product_id,review_title,review_text,rating,age_range,skin_type,skin_tone,eye_color,reviewer_username,tags,review_id
P38217,Worth the money,"Sometimes I stray from this cleanser, but I always come back. It takes off all makeup completely and leaves my skin feeling fresh and looking bright. The exfoliation is very, very gentle, and perfect for my slightly sensitive skin. It seems expensive, but because you need just a bit it lasts for a long, long time.",5,,normal,light,,katechatte,"{foamy,exfoliating}",6611717f-2636-4756-bf36-66c81cc267a7
P38217,Great,"I am a 41 year old African American woman with sign of hormonal aging. This product has my skin looking great, but you must use all of the other products for the full benefits.",5,,combination,deep,,snook41,{foamy},e7d3307e-02ff-45a1-8fc3-6bd628bedd86
P38217,Great Product,"I'm really enjoying this product. Received a sample trio of the Murad products to try first, then purchased the cleanser. Great deal at $35 as a little goes a long way! I use it nightly with my Clarisonic Mia and in the morning by itself. Leaves my skin feeling clean and smooth and appears to be helping to even out my skin tone.",5,,combination,olive,,wahinewarrior,"{foamy,milky,exfoliating}",4188d728-fde6-4d06-984e-164cca2b8781
P38217,"Nice, but not great for combination skin","I tried this cleanser at a friends house, and I was instantly in love. I have combination skin, oily t-zone with flaky, dehydrated patches near my mouth and jaw line. After washing my face with this cleanser, my skin felt hydrated and more even-textured...So the next day, I bought this cleanser! However, it has been a week and my pores very large and I'm beginning to notice black heads :( my skin feels hydrated, but I'm still noticing a bit of dryness.",3,,combination,fair,,jenlines22,"{hydrating,creamy}",248c904c-6e30-4929-8228-87b03ad7a921
P38217,great moisturizer,leaves the skin feeling fresh and revived... just loving it,5,,dry,light,,jessea,{exfoliating},654bdb99-9371-4440-a540-0dd2a73da339
P38217,It works,"I am a 33 year old Latina with combination oily/normal skin. I didn't like the marketing on this as something that was to protect skin from hormonal aging (not there yet), but I loved the creamy texture and the way it left my skin feeling soft. Also, a little really goes a long way. It's worht the splurge.",5,,combination,medium,,Anonymous,{milky},35eadf21-f589-4e57-b149-af59a2e8fe07
P38217,Feels great!,"My best friend sent this in a care package - I recently moved from Southern CA to the east coast. My skin was feeling very dry, but I was hesitant to try a more moisturizing product because they usually lead to breakouts. Not so! My skin now feels very well-balanced and looks much more even. I use this product at night and Murad's Refreshing Cleanser in the morning.",5,,combination,light,,wahine79,"{milky,exfoliating,clean-feeling,hydrating}",938f2f6e-fcb6-4a51-95ef-a55374412a74
P38217,"",very good cleaning-rich lather and does a great job.,5,,combination,medium,,cheeta,"{foamy,milky}",bd51ed5c-cdec-4f42-873b-e07f4b79718d
P38217,Great Face Wash!,Love it! Gentle and non-drying but gets your face clean and leaves it feeling soft.,5,,combination,light,,lvthesun,{foamy},d43691fb-9799-4c0e-90fd-8fdd03900ade
P38217,"","i like it, but not so crazy about the smell.",3,,combination,medium,,tweezerama,{foamy},72c2a20a-be1c-46dc-a2cd-142f2110a05d
